NombreMunicipio,CodigoMunicipio,UbicaciÃ³n,NombreRegion,CodigoRegion,Anio,CausaMortalidad,TipoPoblacionObjetivo,Poblacion,Casos,Tasa_x_100k
Abejorral,5002,POINT (-75.427045 5.79145),ORIENTE,7,2005,Suicidios,Poblacion total,20249,2,9.877030964492073
AbriaquÃ­,5004,POINT (-76.064563 6.63197),OCCIDENTE,6,2005,Suicidios,Poblacion total,2690,0,0.0
AlejandrÃ­a,5021,POINT (-75.141258 6.376923),ORIENTE,7,2005,Suicidios,Poblacion total,3816,0,0.0
AmagÃ¡,5030,POINT (-75.703216 6.04063),SUROESTE,8,2005,Suicidios,Poblacion total,27155,0,0.0
Amalfi,5031,POINT (-75.075028 6.907385),NORDESTE,4,2005,Suicidios,Poblacion total,20525,2,9.7442143727162
Andes,5034,POINT (-75.877699 5.655629),SUROESTE,8,2005,Suicidios,Poblacion total,41591,6,14.426197975523552
AngelÃ³polis,5036,POINT (-75.710262 6.111531),SUROESTE,8,2005,Suicidios,Poblacion total,7641,0,0.0
Angostura,5038,POINT (-75.334973 6.885789),NORTE,5,2005,Suicidios,Poblacion total,12519,0,0.0
AnorÃ­,5040,POINT (-75.145827 7.073577),NORDESTE,4,2005,Suicidios,Poblacion total,15016,2,13.319126265316994
AnzÃ¡,5044,POINT (-75.854027 6.303405),OCCIDENTE,6,2005,Suicidios,Poblacion total,7415,0,0.0
ApartadÃ³,5045,POINT (-76.630692 7.887047),URABA,9,2005,Suicidios,Poblacion total,131416,5,3.8047117550374385
Arboletes,5051,POINT (-76.427353 8.852936),URABA,9,2005,Suicidios,Poblacion total,30738,1,3.2533021016331576
Argelia,5055,POINT (-75.142821 5.731236),ORIENTE,7,2005,Suicidios,Poblacion total,10091,0,0.0
Armenia,5059,POINT (-75.787666 6.156497),OCCIDENTE,6,2005,Suicidios,Poblacion total,5196,1,19.245573518090836
Barbosa,5079,POINT (-75.331286 6.437248),VALLE DE ABURRA,1,2005,Suicidios,Poblacion total,42453,2,4.711092266742044
Bello,5088,POINT (-75.558281 6.334985),VALLE DE ABURRA,1,2005,Suicidios,Poblacion total,371625,19,5.1126807938109655
Belmira,5086,POINT (-75.667252 6.606713),NORTE,5,2005,Suicidios,Poblacion total,6188,1,16.160310277957336
Betania,5091,POINT (-75.976261 5.745292),SUROESTE,8,2005,Suicidios,Poblacion total,10246,1,9.759906304899474
Betulia,5093,POINT (-75.984594 6.113454),SUROESTE,8,2005,Suicidios,Poblacion total,16725,1,5.9790732436472345
BriceÃ±o,5107,POINT (-75.551532 7.110465),NORTE,5,2005,Suicidios,Poblacion total,8783,1,11.385631333257429
BuriticÃ¡,5113,POINT (-75.907102 6.719872),OCCIDENTE,6,2005,Suicidios,Poblacion total,6955,0,0.0
CÃ¡ceres,5120,POINT (-75.347874 7.582281),BAJO CAUCA,2,2005,Suicidios,Poblacion total,28945,1,3.4548281223009156
Caicedo,5125,POINT (-75.982545 6.406072),OCCIDENTE,6,2005,Suicidios,Poblacion total,7686,2,26.021337496747332
Caldas,5129,POINT (-75.635534 6.09199),VALLE DE ABURRA,1,2005,Suicidios,Poblacion total,67994,5,7.3535900226490565
Campamento,5134,POINT (-75.29634 6.979113),NORTE,5,2005,Suicidios,Poblacion total,9688,0,0.0
CaÃ±asgordas,5138,POINT (-76.025603 6.749957),OCCIDENTE,6,2005,Suicidios,Poblacion total,16816,0,0.0
CaracolÃ­,5142,POINT (-74.756712 6.410876),MAGDALENA MEDIO,3,2005,Suicidios,Poblacion total,4855,0,0.0
Caramanta,5145,POINT (-75.644483 5.548681),SUROESTE,8,2005,Suicidios,Poblacion total,5510,1,18.148820326678763
Carepa,5147,POINT (-76.655568 7.755937),URABA,9,2005,Suicidios,Poblacion total,43125,5,11.594202898550725
Carolina,5150,POINT (-75.281494 6.723626),NORTE,5,2005,Suicidios,Poblacion total,3971,0,0.0
Caucasia,5154,POINT (-75.197397 7.989436),BAJO CAUCA,2,2005,Suicidios,Poblacion total,87543,1,1.1422957860708451
ChigorodÃ³,5172,POINT (-76.685044 7.672652),URABA,9,2005,Suicidios,Poblacion total,58922,1,1.6971589559078102
Cisneros,5190,POINT (-75.087684 6.538526),NORDESTE,4,2005,Suicidios,Poblacion total,9682,0,0.0
Ciudad BolÃ­var,5101,POINT (-76.020994 5.850015),SUROESTE,8,2005,Suicidios,Poblacion total,28279,4,14.144771738746066
CocornÃ¡,5197,POINT (-75.185273 6.057769),ORIENTE,7,2005,Suicidios,Poblacion total,15119,1,6.614194060453734
ConcepciÃ³n,5206,POINT (-75.259425 6.394975),ORIENTE,7,2005,Suicidios,Poblacion total,4509,0,0.0
Concordia,5209,POINT (-75.907256 6.046154),SUROESTE,8,2005,Suicidios,Poblacion total,21420,1,4.668534080298786
Copacabana,5212,POINT (-75.508181 6.346097),VALLE DE ABURRA,1,2005,Suicidios,Poblacion total,61230,2,3.2663726931242856
Dabeiba,5234,POINT (-76.266682 7.001567),OCCIDENTE,6,2005,Suicidios,Poblacion total,24084,0,0.0
DonmatÃ­as,5237,POINT (-75.394608 6.486305),NORTE,5,2005,Suicidios,Poblacion total,17701,1,5.649398339076888
EbÃ©jico,5240,POINT (-75.768514 6.326468),OCCIDENTE,6,2005,Suicidios,Poblacion total,12511,1,7.992966189753018
El Bagre,5250,POINT (-74.812977 7.60005),BAJO CAUCA,2,2005,Suicidios,Poblacion total,46020,1,2.17296827466319
El Carmen de Viboral,5148,POINT (-75.335351 6.083283),ORIENTE,7,2005,Suicidios,Poblacion total,41012,4,9.753242953281966
El PeÃ±ol,5541,POINT (-75.161743 6.234274),ORIENTE,7,2005,Suicidios,Poblacion total,16241,1,6.157256326580875
El Retiro,5607,POINT (-75.502683 6.057336),ORIENTE,7,2005,Suicidios,Poblacion total,16976,2,11.7813383600377
El Santuario,5697,POINT (-75.265676 6.139528),ORIENTE,7,2005,Suicidios,Poblacion total,26287,1,3.804161752957736
EntrerrÃ­os,5264,POINT (-75.517037 6.567385),NORTE,5,2005,Suicidios,Poblacion total,8447,0,0.0
Envigado,5266,POINT (-75.587333 6.16996),VALLE DE ABURRA,1,2005,Suicidios,Poblacion total,174150,17,9.761699684180304
Fredonia,5282,POINT (-75.671749 5.927145),SUROESTE,8,2005,Suicidios,Poblacion total,22692,1,4.406839414771726
Frontino,5284,POINT (-76.128568 6.77975),OCCIDENTE,6,2005,Suicidios,Poblacion total,20031,1,4.99226199390944
Giraldo,5306,POINT (-75.953365 6.680421),OCCIDENTE,6,2005,Suicidios,Poblacion total,4188,0,0.0
Girardota,5308,POINT (-75.446101 6.377536),VALLE DE ABURRA,1,2005,Suicidios,Poblacion total,42581,4,9.393861111763462
GÃ³mez Plata,5310,POINT (-75.219375 6.681523),NORTE,5,2005,Suicidios,Poblacion total,11252,0,0.0
Granada,5313,POINT (-75.18443 6.14432),ORIENTE,7,2005,Suicidios,Poblacion total,9789,1,10.215548064153642
Guadalupe,5315,POINT (-75.240458 6.814987),NORTE,5,2005,Suicidios,Poblacion total,6231,1,16.048788316482103
Guarne,5318,POINT (-75.442619 6.279958),ORIENTE,7,2005,Suicidios,Poblacion total,39541,5,12.645102551781694
GuatapÃ©,5321,POINT (-75.161723 6.234276),ORIENTE,7,2005,Suicidios,Poblacion total,5838,1,17.129153819801303
Heliconia,5347,POINT (-75.733349 6.207128),OCCIDENTE,6,2005,Suicidios,Poblacion total,6656,1,15.024038461538462
Hispania,5353,POINT (-75.907416 5.799621),SUROESTE,8,2005,Suicidios,Poblacion total,4821,0,0.0
ItagÃ¼Ã­,5360,POINT (-75.609585 6.172619),VALLE DE ABURRA,1,2005,Suicidios,Poblacion total,234973,9,3.8302273027113753
Ituango,5361,POINT (-75.764081 7.172568),NORTE,5,2005,Suicidios,Poblacion total,25088,2,7.971938775510203
JardÃ­n,5364,POINT (-75.819483 5.599097),SUROESTE,8,2005,Suicidios,Poblacion total,14433,1,6.928566479595371
JericÃ³,5368,POINT (-75.786118 5.791557),SUROESTE,8,2005,Suicidios,Poblacion total,12789,2,15.638439283759482
La Ceja,5376,POINT (-75.431681 6.030682),ORIENTE,7,2005,Suicidios,Poblacion total,46268,0,0.0
La Estrella,5380,POINT (-75.643382 6.157644),VALLE DE ABURRA,1,2005,Suicidios,Poblacion total,52571,1,1.9021894200224458
La Pintada,5390,POINT (-75.606525 5.747143),SUROESTE,8,2005,Suicidios,Poblacion total,7066,1,14.15227851684121
La UniÃ³n,5400,POINT (-75.361241 5.973832),ORIENTE,7,2005,Suicidios,Poblacion total,17842,0,0.0
Liborina,5411,POINT (-75.811313 6.67786),OCCIDENTE,6,2005,Suicidios,Poblacion total,9475,1,10.554089709762533
Maceo,5425,POINT (-74.673429 6.530691),MAGDALENA MEDIO,3,2005,Suicidios,Poblacion total,7630,2,26.21231979030144
Marinilla,5440,POINT (-75.334772 6.173718),ORIENTE,7,2005,Suicidios,Poblacion total,45548,0,0.0
MedellÃ­n,5001,POINT (-75.564739 6.253104),VALLE DE ABURRA,1,2005,Suicidios,Poblacion total,2214494,131,5.915572586785062
Montebello,5467,POINT (-75.524621 5.945694),SUROESTE,8,2005,Suicidios,Poblacion total,7523,2,26.58513890735079
MurindÃ³,5475,POINT (-76.82131 6.981328),URABA,9,2005,Suicidios,Poblacion total,3736,0,0.0
MutatÃ¡,5480,POINT (-76.436928 7.245319),URABA,9,2005,Suicidios,Poblacion total,16428,1,6.087168249330412
NariÃ±o,5483,POINT (-75.176323 5.609727),ORIENTE,7,2005,Suicidios,Poblacion total,15579,0,0.0
NechÃ­,5495,POINT (-74.775013 8.095003),BAJO CAUCA,2,2005,Suicidios,Poblacion total,20668,0,0.0
NecoclÃ­,5490,POINT (-76.786829 8.424299),URABA,9,2005,Suicidios,Poblacion total,47989,2,4.167621746650274
Olaya,5501,POINT (-75.81238 6.628142),OCCIDENTE,6,2005,Suicidios,Poblacion total,2916,0,0.0
Peque,5543,POINT (-75.908927 7.021696),OCCIDENTE,6,2005,Suicidios,Poblacion total,9621,0,0.0
Pueblorrico,5576,POINT (-75.841914 5.790844),SUROESTE,8,2005,Suicidios,Poblacion total,8294,1,12.056908608632748
Puerto BerrÃ­o,5579,POINT (-74.402022 6.490753),MAGDALENA MEDIO,3,2005,Suicidios,Poblacion total,38953,3,7.701589094549841
Puerto Nare,5585,POINT (-74.581675 6.187952),MAGDALENA MEDIO,3,2005,Suicidios,Poblacion total,16690,3,17.97483523067705
Puerto Triunfo,5591,POINT (-74.640079 5.87335),MAGDALENA MEDIO,3,2005,Suicidios,Poblacion total,16248,1,6.154603643525357
Remedios,5604,POINT (-74.69368 7.02808),NORDESTE,4,2005,Suicidios,Poblacion total,22769,2,8.783872809521718
Rionegro,5615,POINT (-75.373872 6.153548),ORIENTE,7,2005,Suicidios,Poblacion total,100513,8,7.959169460666779
Sabanalarga,5628,POINT (-75.818245 6.850482),OCCIDENTE,6,2005,Suicidios,Poblacion total,8193,0,0.0
Sabaneta,5631,POINT (-75.615491 6.15156),VALLE DE ABURRA,1,2005,Suicidios,Poblacion total,44443,3,6.75021938212992
Salgar,5642,POINT (-75.979184 5.963438),SUROESTE,8,2005,Suicidios,Poblacion total,18206,3,16.47808414808305
San AndrÃ©s de Cuerquia,5647,POINT (-75.67649 6.914739),NORTE,5,2005,Suicidios,Poblacion total,7367,0,0.0
San Carlos,5649,POINT (-74.992086 6.188726),ORIENTE,7,2005,Suicidios,Poblacion total,15826,0,0.0
San Francisco,5652,POINT (-75.102069 5.964854),ORIENTE,7,2005,Suicidios,Poblacion total,6395,0,0.0
San JerÃ³nimo,5656,POINT (-75.72792 6.442677),OCCIDENTE,6,2005,Suicidios,Poblacion total,11627,0,0.0
San JosÃ© de La MontaÃ±a,5658,POINT (-75.683472 6.848958),NORTE,5,2005,Suicidios,Poblacion total,3103,0,0.0
San Juan de UrabÃ¡,5659,POINT (-76.524538 8.766496),URABA,9,2005,Suicidios,Poblacion total,20899,0,0.0
San Luis,5660,POINT (-74.994436 6.042772),ORIENTE,7,2005,Suicidios,Poblacion total,11009,1,9.083477155054956
San Pedro de Los Milagros,5664,POINT (-75.555959 6.461815),NORTE,5,2005,Suicidios,Poblacion total,22066,1,4.531858968548899
San Pedro de UrabÃ¡,5665,POINT (-76.382921 8.277916),URABA,9,2005,Suicidios,Poblacion total,28772,1,3.4756012790212707
San Rafael,5667,POINT (-75.028257 6.295426),ORIENTE,7,2005,Suicidios,Poblacion total,13530,0,0.0
San Roque,5670,POINT (-75.019485 6.485044),NORDESTE,4,2005,Suicidios,Poblacion total,18157,0,0.0
San Vicente,5674,POINT (-75.331782 6.282678),ORIENTE,7,2005,Suicidios,Poblacion total,19438,2,10.28912439551394
Santa BÃ¡rbara,5679,POINT (-75.568167 5.874215),SUROESTE,8,2005,Suicidios,Poblacion total,23590,0,0.0
Santa Fe de Antioquia,5042,POINT (-75.827742 6.556455),OCCIDENTE,6,2005,Suicidios,Poblacion total,22903,2,8.73248046107497
Santa Rosa de Osos,5686,POINT (-75.460696 6.648965),NORTE,5,2005,Suicidios,Poblacion total,31025,2,6.446414182111201
Santo Domingo,5690,POINT (-75.164398 6.471292),NORDESTE,4,2005,Suicidios,Poblacion total,11567,0,0.0
Segovia,5736,POINT (-75.164407 6.471289),NORDESTE,4,2005,Suicidios,Poblacion total,35071,2,5.702717344814804
SonsÃ³n,5756,POINT (-75.31098 5.709254),ORIENTE,7,2005,Suicidios,Poblacion total,38779,2,5.157430568090977
SopetrÃ¡n,5761,POINT (-75.742487 6.500955),OCCIDENTE,6,2005,Suicidios,Poblacion total,13385,0,0.0
TÃ¡mesis,5789,POINT (-75.712508 5.662788),SUROESTE,8,2005,Suicidios,Poblacion total,16387,2,12.204796485018612
TarazÃ¡,5790,POINT (-75.39983 7.58049),BAJO CAUCA,2,2005,Suicidios,Poblacion total,32943,4,12.142184986188266
Tarso,5792,POINT (-75.82213 5.865469),SUROESTE,8,2005,Suicidios,Poblacion total,7155,1,13.97624039133473
TitiribÃ­,5809,POINT (-75.793717 6.063419),SUROESTE,8,2005,Suicidios,Poblacion total,13317,0,0.0
Toledo,5819,POINT (-75.691555 7.01096),NORTE,5,2005,Suicidios,Poblacion total,5697,2,35.106196243637
